,user_embed
41,"-0.15315777,-0.062387515,-0.1821592,-0.3892687,0.21753389,0.10879975,0.16522521,-0.3901735,0.11075296,-0.43823516,0.0147746615,0.18546793,-0.15692867,0.2858437,0.31596062,0.17639054,-0.2883091,-0.09040701,-0.110196196,0.18112394,0.14309156,-0.35753703,0.14491172,0.46766052,-0.22299308,0.39000812,0.03666348,0.20203231,-0.029086294,-0.200258"
42,"-0.121069565,-0.05027246,-0.14147703,-0.30528688,0.17318456,0.089079015,0.13157783,-0.30732694,0.085041426,-0.34258893,0.013691318,0.1456015,-0.122681566,0.21983491,0.24182715,0.13618542,-0.22572497,-0.07065972,-0.08703778,0.13951969,0.11483837,-0.27858004,0.108691044,0.36038026,-0.17471676,0.30787292,0.031150367,0.16323994,-0.027303057,-0.15947375"
43,"-0.21212125,-0.094483055,-0.23367776,-0.516547,0.30530328,0.1544951,0.22862595,-0.50065243,0.14902051,-0.5864094,0.03215608,0.2444976,-0.19084755,0.35777143,0.3615367,0.21864386,-0.37763196,-0.11663729,-0.14840661,0.22002788,0.16949953,-0.45336795,0.15897077,0.5665076,-0.2902391,0.5088576,0.08607386,0.28060445,-0.061161935,-0.28039503"
44,"0.19377463,0.123670556,-0.101879545,0.32236207,-0.24384838,0.015385056,-0.14850119,0.086787544,0.08807248,0.119970284,0.47351864,0.2125047,0.39360052,0.36942732,0.21198504,-0.24981979,-0.18789887,0.06334897,0.021565678,0.5930854,-0.40795797,-0.36369994,0.153724,-0.32009447,0.4208577,0.22662188,0.26435772,0.25884697,-0.26197535,-0.4370351"
45,"0.15101779,0.102642275,-0.08624278,0.25851652,-0.21289967,0.033138312,-0.11575231,0.074584946,0.080514915,0.10972083,0.3772617,0.17101653,0.3186214,0.30000675,0.17973389,-0.19260144,-0.15740624,0.045041945,0.026590751,0.46710616,-0.33184507,-0.28627622,0.13316077,-0.26303452,0.33114663,0.18436506,0.21914673,0.21676703,-0.19480476,-0.3472904"
46,"0.15067804,0.10290509,-0.085360266,0.265291,-0.21077782,0.037069745,-0.116513796,0.07444651,0.0785831,0.110075414,0.37493852,0.17245917,0.32528642,0.30082205,0.17934595,-0.19270153,-0.15816115,0.045544885,0.02555372,0.45736185,-0.3320432,-0.28531906,0.13267572,-0.2645357,0.33018288,0.18357144,0.21575297,0.21710515,-0.19489165,-0.34668687"
47,"0.15082586,0.10270872,-0.0847152,0.26117197,-0.21304016,0.03470159,-0.11628569,0.07542912,0.077468984,0.111782216,0.37101534,0.17374735,0.32384443,0.30154374,0.18028389,-0.19196413,-0.1580635,0.04724236,0.027031558,0.4643867,-0.3314857,-0.28610346,0.1329418,-0.26315403,0.3321271,0.18354097,0.21641949,0.21790054,-0.19435796,-0.34774762"
48,"0.026971545,0.26695868,-0.21625447,0.30893403,-0.519741,0.44790027,0.07813438,0.2148357,0.32770216,0.38605744,0.33374226,0.32158613,0.25697878,0.34410053,0.36923215,0.124503896,-0.31727695,-0.22365452,0.25911754,0.29161373,-0.5379979,0.0005085813,0.4201574,-0.4549196,0.107677445,0.29760003,0.42119148,0.42317924,0.16920169,-0.20687175"
49,"0.031545684,-0.1865246,0.20735341,0.35651466,0.24369963,0.19967455,-0.31500664,-0.0052248016,0.28554404,-0.36820543,-0.07912176,0.33349025,0.38626945,0.2663591,0.03509798,0.2378279,-0.07234388,0.53260547,-0.1587764,0.33700788,-0.20332208,0.4678116,-0.5003221,-0.10980589,-0.4771133,0.028145624,0.2315813,-0.2918343,0.48338604,0.12507705"
50,"0.058606245,-0.13051337,0.1663103,0.22346367,0.16947894,0.13041396,-0.12603658,-0.045693107,0.24103794,-0.2634334,-0.044417825,0.18247712,0.2429953,0.16449751,0.07732926,0.15652493,-0.038224164,0.3860689,-0.134085,0.2468048,-0.19007982,0.26969463,-0.27412203,-0.06789855,-0.3140878,-0.062275708,0.2344447,-0.2400418,0.2906127,0.15601437"
