,words
98,"-1.9704184532165527,-1.0710301399230957,0.6653226613998413,-0.05002717673778534,1.2603038549423218,0.5896528959274292,1.2844045162200928,-0.5796232223510742,0.4811966121196747,-0.6097817420959473"
99,"-1.0080277919769287,-0.5691385269165039,-1.2196546792984009,1.1487236022949219,-0.5774011015892029,0.4859740138053894,1.348024845123291,-0.04566757380962372,1.51633882522583,-1.0791712999343872"
100,"0.5308628082275391,-1.0662418603897095,-0.9076714515686035,0.3045937716960907,1.799848198890686,0.43656083941459656,1.071023941040039,-1.5348726511001587,0.1979771852493286,-0.8320803642272949"
101,"-0.7593148946762085,0.2365448921918869,0.33043789863586426,1.6187611818313599,1.9616174697875977,-0.6175937056541443,-0.5212825536727905,-0.20303241908550262,-1.0559418201446533,-0.9901959300041199"
102,"-0.35328683257102966,-1.548161506652832,0.13045068085193634,0.08972512185573578,1.7600882053375244,0.9716415405273438,0.6503618955612183,-0.5521774291992188,0.4315832853317261,-1.5802253484725952"
103,"-0.9300136566162109,-1.160861849784851,-0.05467933788895607,1.0228452682495117,0.9695828557014465,-0.3393784761428833,1.2201474905014038,-0.7865413427352905,1.3661937713623047,-1.3072950839996338"
104,"-0.010718069970607758,-1.3858915567398071,0.3747332692146301,-0.7372012138366699,1.1545965671539307,0.59206223487854,0.25482359528541565,0.7208190560340881,1.0453392267227173,-2.008563280105591"
105,"-1.199318528175354,0.10957922041416168,-0.6228712201118469,-0.07446204125881195,0.8285977244377136,-0.2901238799095154,0.3933601379394531,1.2910676002502441,1.4356701374053955,-1.8714993000030518"
106,"-0.7291702032089233,-1.293694257736206,-0.9689595103263855,1.4008102416992188,1.2071974277496338,0.01420566439628601,-0.532291829586029,-0.007303148508071899,1.6248879432678223,-0.7156827449798584"
107,"-1.8234641551971436,0.29222047328948975,0.24512261152267456,-0.22540001571178436,0.7063148617744446,-0.3850858509540558,1.7604641914367676,-1.137790322303772,1.0827250480651855,-0.5151073336601257"
108,"0.01358187198638916,-0.256632924079895,-0.9254130125045776,-0.44158637523651123,1.4695652723312378,1.1756744384765625,-0.31684213876724243,-1.4995583295822144,1.5495818853378296,-0.7683707475662231"
109,"-0.384970486164093,-0.5277619957923889,-1.7219464778900146,-0.2581630349159241,1.2788822650909424,0.3509894013404846,1.146151065826416,-0.9275854229927063,1.5378844738006592,-0.49347978830337524"
110,"0.3972320556640625,1.2331968545913696,-2.1511096954345703,-0.7063349485397339,0.33098000288009644,0.0761602371931076,0.4660497307777405,0.08409532904624939,1.322125792503357,-1.0523953437805176"
111,"0.2582116425037384,-2.094595193862915,0.3801659643650055,-1.2156206369400024,-0.35986804962158203,0.9661661386489868,1.366672158241272,0.5540221929550171,0.6535453200340271,-0.508699893951416"
112,"-0.3138940632343292,0.48963019251823425,-1.8279578685760498,-0.6409751772880554,1.4893798828125,0.29090672731399536,0.8087514042854309,1.0010608434677124,0.0962950736284256,-1.393196702003479"
113,"-0.24393942952156067,-1.1987558603286743,-0.4566822052001953,1.3904619216918945,0.07114478945732117,1.3157730102539062,1.4497504234313965,-1.3023381233215332,-0.12445762753486633,-0.9009573459625244"
114,"-0.9905288219451904,-0.27888223528862,-0.3482007086277008,1.0707972049713135,-0.28108230233192444,0.33180975914001465,0.8366898894309998,-0.9979245066642761,1.9978028535842896,-1.340480923652649"
115,"0.9444858431816101,-0.7829766869544983,-0.9157558083534241,0.32732003927230835,2.212501049041748,0.06939096748828888,0.565822184085846,-0.888314962387085,-0.338696151971817,-1.1937763690948486"
116,"-1.4844117164611816,-0.5448989868164062,-0.7205085754394531,0.3561365306377411,0.5698758363723755,1.0465178489685059,0.24827605485916138,0.18856853246688843,1.7947919368743896,-1.4543472528457642"
117,"-1.5246891975402832,0.18246768414974213,-0.49653732776641846,0.5845706462860107,1.396834135055542,-0.6199065446853638,1.9498708248138428,-0.37944623827934265,-0.2509929835796356,-0.8421707153320312"
118,"-1.1811237335205078,0.058492884039878845,-0.14099130034446716,-1.0058468580245972,2.047455310821533,0.27571752667427063,1.5237597227096558,-0.701215386390686,-0.20979787409305573,-0.6664503812789917"
119,"0.736952543258667,1.0395183563232422,-0.8850430846214294,-0.1539279967546463,1.6683236360549927,0.8844952583312988,-0.6958022117614746,-0.7256821990013123,-0.14493714272975922,-1.7238972187042236"
120,"-0.9107975959777832,-1.6354091167449951,0.33195096254348755,0.9732095003128052,1.1951193809509277,0.05050003528594971,1.283456563949585,-1.1412296295166016,0.6501885652542114,-0.7969882488250732"
121,"-1.529099941253662,0.252514123916626,-1.4703400135040283,0.46886688470840454,1.1698431968688965,-0.19291523098945618,1.414139986038208,-1.067483901977539,0.1488415002822876,0.8056337237358093"
122,"-1.4663208723068237,1.1132954359054565,-0.7283821105957031,-1.4312256574630737,1.3289536237716675,-0.3156677782535553,1.162217140197754,0.507665753364563,0.4356291890144348,-0.6061646938323975"
123,"0.08041475713253021,-0.28394871950149536,-0.35339826345443726,0.5700790286064148,-0.4414098560810089,1.3212270736694336,1.5414700508117676,-1.5846545696258545,0.6414319276809692,-1.4912109375"
124,"-0.6533679962158203,0.19567811489105225,-1.9375548362731934,-1.2737582921981812,1.2167644500732422,0.9476350545883179,0.8203784227371216,-0.08830207586288452,1.018880844116211,-0.24635377526283264"
125,"-1.9541136026382446,-0.8856619596481323,-0.3719046711921692,-0.07101636379957199,1.4718704223632812,0.8798292875289917,1.163401484489441,-0.3120864927768707,0.6951958537101746,-0.6155140399932861"
