,words
43,"-0.21523666381835938,-1.7192176580429077,-1.912360668182373,-0.6141002178192139,-1.828178882598877,-0.49926355481147766,0.11424945294857025,0.8724369406700134,-0.37965941429138184,0.5018602013587952,1.6979278326034546,0.6973419785499573,-0.8386417627334595,0.862938404083252,-0.0652533546090126,0.5831905603408813,0.5300259590148926,0.1439133584499359,1.5818277597427368,0.48620012402534485"
44,"0.41620442271232605,0.08390633761882782,0.1195020005106926,-1.0705770254135132,-2.578996419906616,0.012768955901265144,0.8198531270027161,0.19986070692539215,-1.256303071975708,-0.6452308893203735,1.2430777549743652,-0.5166502594947815,-0.9628064632415771,0.7062873244285583,0.6085306406021118,-0.974779486656189,1.0166394710540771,1.0072129964828491,1.635879397392273,0.13562048971652985"
45,"0.565511167049408,-1.1573437452316284,-1.0064748525619507,-0.9227443933486938,-1.7840138673782349,-1.578297734260559,0.3242505192756653,1.2521882057189941,0.2740921080112457,0.7611119151115417,1.4118531942367554,-0.17212025821208954,0.8364506959915161,1.5413765907287598,0.3255849778652191,-0.3663273751735687,-0.7503141164779663,-0.464685320854187,1.440679907798767,-0.5307780504226685"
46,"-0.20218223333358765,0.07071509212255478,-1.870261549949646,-1.214085578918457,-1.2116014957427979,-0.43977412581443787,1.947487235069275,0.3330805003643036,-0.5607243776321411,-1.2564290761947632,1.0977156162261963,-0.0937366858124733,-1.1163090467453003,1.5629465579986572,0.20062696933746338,0.663117527961731,0.9980362057685852,-0.2936824560165405,0.46918702125549316,0.9158738255500793"
47,"0.33956849575042725,-0.5700157880783081,-1.425533413887024,-0.03256087750196457,-1.6426513195037842,-0.2962675094604492,0.26871442794799805,1.1184500455856323,-1.6700907945632935,0.5543139576911926,1.6487641334533691,0.4212266206741333,-0.969741940498352,1.9906151294708252,0.5322055816650391,-0.21850304305553436,-1.049385666847229,-0.314927875995636,0.9077330827713013,0.408086895942688"
48,"1.0803581476211548,-0.13789409399032593,-2.280045509338379,-0.8272242546081543,-0.46891459822654724,-0.1654030680656433,0.9042901992797852,0.28250405192375183,-0.42814159393310547,0.24722367525100708,1.940748691558838,-0.1408919095993042,-1.9271358251571655,0.11211854219436646,0.0039026252925395966,-0.39249882102012634,0.7678459286689758,-0.4637967050075531,1.7459442615509033,0.14701032638549805"
49,"0.6960330009460449,0.020574742928147316,-1.84532630443573,0.5947229266166687,-1.730588436126709,-1.4002854824066162,0.08834291994571686,0.11285386979579926,1.5603020191192627,-0.11377619206905365,1.4026774168014526,0.2784898281097412,-0.2379930466413498,1.4349753856658936,-0.382497638463974,-0.42908599972724915,-0.16609083116054535,-0.48708420991897583,1.6045408248901367,-1.000784158706665"
50,"0.37206199765205383,0.5896345973014832,-0.4772070050239563,-1.2900934219360352,-2.0935142040252686,-0.4720626473426819,0.9935401082038879,1.5036698579788208,-0.3135305941104889,-0.2796977460384369,1.6204771995544434,-0.9030599594116211,-0.7544785737991333,0.34615761041641235,-1.3889715671539307,-0.00018852949142456055,0.17540088295936584,0.8043814301490784,1.6852037906646729,-0.1177225261926651"
51,"0.7795370817184448,-0.18826478719711304,-1.368361473083496,-1.3932026624679565,-1.1776787042617798,0.3766486942768097,0.4350495934486389,1.5209884643554688,-1.749800682067871,-0.9331027269363403,1.227325677871704,0.062270451337099075,-0.30882611870765686,0.7170346975326538,-0.7570029497146606,0.9559882879257202,-0.5169172286987305,0.8296535015106201,1.7213270664215088,-0.2326657772064209"
52,"2.0672810077667236,-0.2581779658794403,-0.44530633091926575,-0.8575187921524048,-2.500244617462158,0.2893582284450531,0.7685047388076782,1.412322998046875,-0.34493428468704224,-1.0383752584457397,1.0923316478729248,0.0888245701789856,-0.3435433804988861,-0.3545835614204407,-0.6429099440574646,0.7968056201934814,-0.1922227293252945,0.16554923355579376,1.1501578092575073,-0.8533187508583069"
