,item_embed
102,"0.21844907050255694,0.3409367992281424,0.47130967000176577,0.2667165744736697,0.4630211705980783,0.48319442274992686,0.3793835903840671,0.5171986898527341,0.43501759059090467,0.52893266958828,0.6287143598846703,0.4354601677965603,0.1503974392099991,0.3430326871062526,0.23061836908152417,0.35357066078171684,0.25340388758471366,0.133028517081411,0.19444522925080743,0.20359981814739103,0.2450848507882641,0.5655276760262462,0.41854759645341544,0.4041598180519186,0.24162891209261853,0.31420787938337,0.22997025768075433,0.3377314203614024,0.4417607666117343,0.4520665686992865"
103,"0.2991595029435215,0.2619259684627929,0.4503578743477457,0.355319784461757,0.3913135324395805,0.37797952622050296,0.39200435326291,0.2420476421584068,0.4340955360968912,0.28891668434703915,0.13276988946245769,0.31891549783263146,0.3929741353307433,0.3532296041712183,0.4490809333137204,0.44649490268947767,0.45820867513347024,0.5663467566631906,0.28870064966943976,0.24417368800486275,0.36915679693631276,0.2019576834846107,0.5485121815413051,0.3777762393436192,0.33439305719261897,0.20442969565896835,0.4994341613599854,0.5597572531598248,0.4027986068141803,0.22699491900630903"
104,"0.4314341097998013,0.4953252980725902,0.2221526801851935,0.5884410734942824,0.29182052884833865,0.5419869548811103,0.1571602682555362,0.33250108807165446,0.1070392693806977,0.23397489494586013,0.5663360337536221,0.1878437732442491,0.4220747385387736,0.2065861098885013,0.2819946944513558,0.3413993542941945,0.44659901881799263,0.3203222470067178,0.38785864975531015,0.5208913179788367,0.24053199288802604,0.5538312485006486,0.14046099461902764,0.14988144313457677,0.3148309454082633,0.38271201347234596,0.37624416502404423,0.19959367123683655,0.2709962919646997,0.37497667184053834"
105,"0.07086939902891017,0.049467467453195725,0.015432937049998539,0.1785402594759661,0.014686440350987593,0.03361050816124128,0.0004259635962009445,0.024615868473544453,0.1731833297753312,0.021486600427512832,0.1255935844209898,0.036651421604282954,0.04979174661219148,0.013870777305622565,0.17169855088696848,0.11401340736620522,0.1366556909876095,0.1149045132588919,0.08251791711981248,0.05788575338344288,0.17067541168550437,0.0978958506933543,0.17860428707986642,0.11410408302417538,0.01453094122893194,0.1569950878617943,0.09526078804854533,0.0013909745238167958,0.12292540584784543,0.17252370355352203"
106,"0.16801301091034176,0.14400924173517646,0.14102174323308944,0.09380305150695072,0.062124298559569094,0.1355312195188942,0.09222847879555658,0.00812389157380678,0.18018361792352605,0.04405245297380067,0.08225866147382661,0.031864242329774396,0.12978680917334365,0.004521924989742204,0.01574528964399692,0.02327516895693694,0.1376062598595445,0.1442676634966908,0.10725563902522757,0.028555856001607236,0.12253202686382318,0.06752197317139418,0.12847383623210828,0.04759773106588596,0.1605741333481522,0.13513144679880432,0.07384603656326097,0.10596307765457803,0.14816510007401107,0.07694132116429139"
107,"0.300122210921997,0.6050810359277252,0.32608660078042456,0.46047150473899456,0.32813287983243755,0.4206117742886208,0.4381218039146038,0.14245736683777607,0.20537955614018497,0.5279968725733022,0.6329251143961698,0.47317722322800326,0.369917228831341,0.3468833326202312,0.44180405594039884,0.32236603306095507,0.4452816992366881,0.46054114590407824,0.24492144840680627,0.3582578891761868,0.5085652655793006,0.4534476125729679,0.3327362956489953,0.3393454267973398,0.5227244595934148,0.5799248996342978,0.2902380340971175,0.37395987457361846,0.12712941874771577,0.17950087009250215"
108,"0.02692494749005124,0.0032542841379726343,0.08178773530394338,0.12648570563388162,0.17231884229279343,0.05732386808353658,0.059516043254399166,0.014859331924086063,0.14009654070071859,0.15601362492165965,0.15984063190489362,0.13897437555218978,0.10719859584949273,0.10537061173861748,0.060426858876482144,0.09098022742694746,0.12638553001932568,0.018215994307365535,0.08096035248881553,0.1234602223581131,0.07623995865167166,0.04167458489083197,0.14848210043022247,0.11760667266880064,0.014026160041389311,0.16477884873798104,0.16618985938189368,0.03475219780630953,0.058191134880378956,0.0179243525405283"
109,"0.01504312397984648,0.11094000439980202,0.0633706719718003,0.09202142628990491,0.1351607784283529,0.18063979629235624,0.17275010149434444,0.0033590367112834667,0.11321977689221202,0.16447196809580367,0.10599529932720314,0.005783992804228275,0.11482771115410202,0.11804256383142363,0.14857961691771157,0.05143868795385406,0.12796718325006406,0.0479613391013623,0.17343834480197126,0.03128412233425739,0.16854650482671837,0.12401711190703203,0.05660924411172592,0.11542737719141531,0.006840305371159703,0.09439992904441642,0.07270511194372538,0.13563372385690614,0.0790877286963825,0.1367135434725333"
110,"0.07910762990576402,0.11315417271723141,0.040635997908369886,0.011092668826135396,0.11645915873373194,0.07892900752652098,0.10053713746596761,0.05425005813571517,0.03614395038616165,0.03908594642174575,0.1474999437454575,0.15916711341696038,0.012074391251329388,0.11343956655937783,0.13467108885118356,0.08550409202169726,0.09796234674668775,0.17444399622052106,0.05803885837000462,0.17029357136729528,0.18109156468995868,0.10135213537233019,0.14999600075664155,0.14863906981421407,0.06095311045099607,0.09003219717806621,0.042012388008725046,0.04957929962509547,0.09596401043111194,0.09696592235840958"
111,"0.318976569980309,0.32653066610932874,0.31055176179599986,0.37400345728990697,0.28283718706475036,0.24130966418719502,0.41717243362651835,0.2834529840315837,0.22598408040764928,0.1305279775749436,0.18270733919928545,0.11224757350509029,0.2547380476167249,0.29924055903833463,0.19218101655477787,0.31857240408506765,0.31208476932048174,0.2782264097241994,0.1623694600393564,0.2800008101953241,0.2162155888456795,0.1250227043925023,0.32717256584490645,0.35884133288077924,0.2930348701821839,0.31581374145839236,0.12025224215217914,0.3422121930069066,0.2044284153375887,0.2704121205247426"
112,"0.11745184729431139,0.228953088165014,0.1712175584608533,0.15311401592329602,0.12072367563287481,0.17745114670695725,0.1980765280616129,0.2102324969971917,0.14149468135076565,0.13409765947095698,0.21166284967551155,0.2402942009761507,0.19079406538824267,0.14619766243539453,0.18880528692467619,0.19268729242463475,0.12595790832781226,0.11475645689580703,0.1877497701258921,0.11779065650657747,0.13102266342174337,0.13081054374934525,0.14433550509429605,0.12676362779627343,0.13213945501088692,0.1706971735824233,0.171477389754038,0.24158169861270432,0.2145486428231913,0.24893477055178406"
113,"0.07020718623723778,0.03396342568960472,0.12881815057154128,0.041914448030852335,0.15730951290987327,0.0954060356955614,0.034453183208874194,0.007041096711205819,0.014704336221268443,0.058863566414541525,0.16645391473110388,0.16068577810459936,0.10989224815823576,0.05175972164701472,0.13698137973838134,0.12739738660418556,0.00793627342699946,0.13862188734462455,0.16016391558238255,0.12936136551997662,0.0032980608159194113,0.058743164104855805,0.0331130989059334,0.0885744135172511,0.08960250219870497,0.13194517670015796,0.04477682318629382,0.02231536210357966,0.12465662825772791,0.05661495709097629"
114,"0.16995871069093305,-0.02775313276251183,0.0794434213104281,0.22063350007954668,0.29483161197331986,0.03400537520764012,0.5678135801775417,0.08280109055658219,0.18792829077340764,0.1867585351534903,0.26932689619387373,0.04561069427997693,0.1505683601241203,0.17883066621715785,0.3646301703674136,0.26617713744510746,0.13387642869917288,0.3258030737235686,0.16319948740164894,0.023392923233329723,0.05538670372602566,0.35249701138648315,0.3407007878300466,0.36924441169448236,-0.001290021688342126,0.2087951629705993,0.04306117761352361,0.0588161883325656,0.21951961779301393,0.2556007230959141"
115,"0.0741936027909939,0.0068189388994730725,0.08074698625170276,0.03533310602123201,0.16468904182825517,0.026928886753794557,0.03342001982036493,0.08093792329548481,0.12792872514078005,0.1199114751034675,0.031186077585145935,0.15190629696090488,0.1780320785092912,0.0885430839301854,0.08406751570900307,0.1299573462736995,0.16668852676856302,0.09870731057133827,0.02800731787873869,0.051321907320454545,0.01640006605809547,0.15639603099578814,0.1355100667181597,0.00583626736623231,0.13795740667887338,0.17793588464164875,0.04138095981186095,0.03824002574156782,0.09042887337512674,0.04309450316222981"
116,"0.01479832956107469,0.005928582062128514,0.14396035054991568,0.06132635447162872,0.053128353408637245,0.027078364892530037,0.15994644906247976,0.04632978546027478,0.1314197905753442,0.12028233797187456,0.17111363719968212,0.06330197025564857,0.04776405720196739,0.15424894781843942,0.04065579667593106,0.09487685103293597,0.11294230740286737,0.11644193324834387,0.10111362448645562,0.1815493484118645,0.007560455038807154,0.03721665456253107,0.10723281389287072,0.12339746757843341,0.16289702335271633,0.1806446898443022,0.06946455099016277,0.016593390361375675,0.12580944611299547,0.09910668243729498"
