,words
36,"11542,8044,10599,11993,2541,7390,5893,2051,6405,11608,2538,438,3000,4469,11608,11542,7783,8044,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,"5759,3813,6405,11608,10051,376,1822,7962,4916,8931,3365,10775,0,1123,5486,11608,5204,2328,5094,7962,12046,841,5897,2218,7547,10184,9379,12250,5469,514,8155,3813,6405,11777,2868,7962,7794,5028,5897,2951,7962,6256,11608,7252,3736,7866,5893,10860,5094,7962,9373,6761,2948,3521,3000,11983,514,3293,9228,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,"8591,5303,6405,2484,11435,6544,3311,7105,0,10485,3469,6903,6521,11599,1835,0,6544,3311,2996,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,"2582,2026,9382,6651,7547,7078,1385,6521,11608,8554,0,2582,10498,3786,7270,7547,2267,6521,7547,10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,"214,3000,11465,6862,11608,3740,623,2432,6521,7547,3603,3000,6403,515,10454,1881,785,8883,4976,5948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,"9110,7962,9726,5897,2406,7547,2941,2494,7945,7962,6256,5897,10008,2956,6426,7967,7866,11279,1916,6436,791,9632,0,5674,7454,1916,2356,7372,6558,6405,11608,1159,3000,1987,10060,5754,2185,5897,4921,661,8123,566,9366,5897,1241,4531,4976,11608,8533,3000,3694,6982,5730,4976,4009,12247,1500,10454,305,10127,1965,2362,6405,7794,11608,50,4566,5897,10008,1265,2719,11155,505,4107,5897,9030,2484,640,10478,4009,1965,2362,6405,11608,12127,4566,5897,10008,6651,2783,1265,10567,5255,5568,7688,2773,7144,5264,3461,4921"
42,"644,5897,7547,4066,22,6405,4726,3000,10886,841,5897,11608,1613,11596,11524,5754,12147,2948,4543,4874,2719,4066,22,6405,8830,4461,10485,1298,11608,2088,10887,12330,6166,640,996,5469,9597,566,5480,6689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,"3884,4566,6405,6761,7362,514,3293,3056,0,7962,4059,6651,2322,1916,4510,347,514,3293,854,10620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,"827,5665,8044,7962,1654,6094,4976,7547,1159,3000,6605,7736,6900,6521,7648,11635,7609,3398,5897,7547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,"214,12200,6917,3631,1397,1934,2625,7962,10886,5893,1435,0,8903,6256,2088,6761,12019,849,4976,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
46,"9463,3011,5893,4566,6405,9422,1916,3293,4976,11608,6761,9299,5355,2719,5227,505,11198,1916,7547,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47,"12046,6035,11698,7270,8155,1447,11628,4150,6912,11608,6184,3930,6405,2484,5520,5897,2507,3930,1981,11608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
48,"6456,3164,9382,505,1298,4157,7962,11022,10886,7547,6647,5469,5815,1916,6350,8399,11608,2585,3000,11668,1380,10194,10383,7262,6256,4009,9601,6202,6651,6891,2153,1506,5665,7962,6256,566,11416,5897,2153,11701,10194,5895,6405,3659,1134,10947,1126,4566,4976,9822,214,5296,7962,10008,9081,4629,11701,11608,8118,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
49,"12046,11608,2318,5603,2484,7962,9852,9382,7176,6651,8042,1916,11678,2719,1655,6405,6035,8786,1927,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
