,user_embed
37,"0.38498663245081693,0.6047070616833226,0.28347983410753785,0.4697850821299136,0.10532948796958987,0.2772288037092452,0.6924378187309833,0.31225185248301024,0.39105895382816375,0.6264727075330684,0.24674637042938702,0.19956786440979182,0.21811900898383255,0.32915988026435056,0.0898554688286601,0.09149022070641517,0.3041893815995754,0.18647663365813774,0.17129050103940327,0.16831101303895493,0.33965235040913855,0.3749515332935089,0.4673761855299117,0.5643531677569644,0.19399165331215226,0.5010831400877162,0.1892546180081461,0.2796239359513741,0.23800639530480178,0.46903645488780604"
38,"0.15944168939615114,0.45497399045146186,0.46613927671301664,0.5095383859581704,0.5162284675875239,0.36870577016838746,0.26899205085166594,0.21861397152129664,0.49822890994226177,0.5900576870366533,0.15470432063029732,0.1936900035174003,0.4069468176976972,0.30273616242541784,0.3126572831672503,0.4846724880525049,0.31047194019280294,0.18985605145539308,0.4752459319735501,0.057005191767554045,0.5356054926531051,0.18430793799014533,0.2653802377488363,0.42774721951063543,0.21863508019417244,0.4453057834034149,0.31223808779964596,0.36329497905468855,0.2907718115441111,0.204648284822562"
39,"0.5018324897394683,0.2986010753159211,0.3414886658078569,0.1653206318120154,0.4199654210068908,0.3002597951942868,0.42933372512636425,0.5323743528613217,0.30452681078997695,0.3482647493657191,0.40534034386917267,0.6089075142622011,0.4194081870600935,0.2295279897596227,0.09432626721436399,0.33907143550581215,0.1544623315718943,0.4360765163035996,0.1795092254291532,0.2213401810709185,0.3325666342735094,0.38293333973172955,0.32208262841610613,0.3406103370811134,0.35760513468635213,0.21040049813374734,0.2917975980666912,0.43365004854171424,0.5612407083376532,0.5267334782365031"
40,"0.23609740552723615,0.5954249044704271,0.23459296731105253,0.4093557858222954,0.4975012556903138,0.6531270482164808,0.3754828981015117,0.22640674282298387,0.20103241117541276,0.4229153062027979,0.27578194379236504,0.5145265092164449,0.3721129707100874,0.46541783280671245,0.20264485794689144,0.2184879075203391,0.17726417000157352,0.2994556561230779,0.22021159603924906,0.2070578165830998,0.46116835370141196,0.29359502950894895,0.189107049459161,0.42438619956028223,0.25139386478488657,0.31692619253023424,0.44015678129974856,0.41237487727862443,0.27575816490950555,0.30485037578449337"
41,"0.5925483201037139,0.5423805503281337,0.24377453729865903,0.3003246487928263,0.48569216975918805,0.5683512701918558,0.27647555430917986,0.23067284191519516,0.3338331103534945,0.20030632048339544,0.5052577916772705,0.4580509100846175,0.17099738726437128,0.4246819455746767,0.5239624200630273,0.42602096832088876,0.31481542990629857,0.6218326812852908,0.47545579074218997,0.43171537756890505,0.13553742823095802,0.4854814365890993,0.602628367174547,0.5404236681086892,0.301146534802476,0.44519555811513906,0.41951092486158925,0.4264430274175881,0.26556074581967093,0.7020564582215195"
42,"0.26931162335662817,0.30233813364989764,0.309964447293016,0.4977572486257084,0.3843485192112792,0.22559629460013245,0.4320960577900573,0.33618724818627055,0.36531359887512754,0.25936446401254754,0.35001431375752656,0.386777422624254,0.3494650037567036,0.4160096146275159,0.6022294074647505,0.4489133950980311,0.3761897408828566,0.17301593422378692,0.40053781799392424,0.6374454233641037,0.284457493530304,0.28083903903651025,0.42803466803069123,0.2859353301271255,0.30182647269705853,0.38584348053667605,0.3096529989950643,0.3851354868473942,0.3687260886357444,0.17188124852362066"
43,"0.3779461041376878,0.31386872042594904,0.3256123269515655,0.3288520168471264,0.3594142933245704,0.3763195806014573,0.38092893028130653,0.12040583342575853,0.5093274333980344,0.34630015733081326,0.458127858315046,0.46179414107458205,0.1124112056871225,0.22272828824611582,0.4846643858440924,0.410510884866399,0.4898637283056834,0.2975881502308426,0.19388247972254088,0.19952214767488075,0.49991360956812914,0.28702015594921554,0.15030334612948457,0.1692472760647978,0.6046118841503687,0.12428776332471422,0.5367986972744578,0.4574804792359025,0.3049255719884481,0.2212662132175531"
44,"0.32297684606891025,0.2881969815240314,0.3083597368141106,0.41073051457279225,0.386674802071716,0.2641271611805026,0.20234648027244148,0.3196329153891602,0.1542011705763258,0.4396570094481313,0.34378818409274575,0.33112914851325503,0.5381859202807492,0.3580474456310257,0.19015317586635772,0.3272761765728618,0.4418866571770459,0.4007705963731313,0.3403898309920125,0.3921668585329389,0.48242885095601945,0.3623310665804015,0.272572955770926,0.35608982553031465,0.34925754602209297,0.1900526816646622,0.15730092200946333,0.30205925357282803,0.20961469673907837,0.19388649934262464"
45,"0.32513712814659573,0.2045654272745214,0.3277149159842381,0.36417991903557934,0.3184652314002932,0.3557628058403253,0.2641846422380865,0.3426797559129495,0.15760890384198867,0.31157498930706007,0.44348748123292275,0.3753906282399767,0.511360704134966,0.3624391274517131,0.12699964566618036,0.2833107614735471,0.3213923672024368,0.4507024441171333,0.40900082632112755,0.4651822502286312,0.4346897809885353,0.3476851255986222,0.30530130592910554,0.29019485276139095,0.45138049482919984,0.29293472307748425,0.0979735023670324,0.28526151508126424,0.13997110628638854,0.1987717078208251"
46,"0.35232473034745093,0.18520980289387717,0.4121701449226074,0.3788662564029813,0.5614937555931131,0.24369014480005638,0.8115421723096268,0.3251903519548355,0.43517594208982135,0.44949366361661713,0.5854711172632177,0.2508935896252478,0.39063569863354464,0.49873819526832014,0.6680708436264402,0.5677421292843742,0.43235349837515064,0.5501752766628636,0.35654844999517554,0.2494726372686648,0.19600128601852682,0.6295873969811008,0.4279698538001929,0.6175565784068067,0.3100283859283028,0.42965360761554333,0.2855475908797008,0.16423546950718115,0.42130385366291606,0.40565811122189505"
47,"0.45987168324049005,0.38443969513692183,0.3148361825029065,0.4761209708257476,0.40166508232353826,0.2646750925617524,0.5467589879861898,0.3388517228022163,0.27100578486456334,0.16522680489910224,0.23591416028616158,0.1513418918207177,0.3170422047243886,0.3208375490805777,0.24637003877854718,0.39813433842722956,0.4088948035320588,0.37662185561374606,0.22038202887758607,0.40557187996749106,0.3273429538942098,0.13804731240674503,0.42064326132140895,0.4486106004944192,0.41412639827211345,0.435852837083844,0.14267314932112485,0.46972910068002105,0.26218329131208523,0.38144184362342276"
48,"0.42931130238576015,0.48463578260668744,0.22961786987408758,0.5905787115215587,0.2845137790402863,0.5447829104892659,0.16993029042994953,0.3197477854512556,0.10816243775245399,0.2501360107298947,0.5616997228406091,0.17482006912531015,0.41160557429825717,0.1912141072670036,0.2855269854129818,0.3618028428707219,0.455435260701949,0.30257916104445604,0.3698672323420489,0.5260895152009281,0.26343082770113535,0.5585692443474108,0.1309491791388017,0.14613259863177008,0.2949716224626065,0.3984976224319404,0.3503699575958985,0.21462790953827246,0.2821064711100988,0.3981171661401272"
49,"0.3017333176642831,0.6047810866411085,0.33562107934480284,0.4439399271291585,0.3288580238185512,0.41778362074471936,0.44745537103527605,0.14837217347393297,0.1991412628798527,0.5355314936310913,0.6261055312407142,0.48541268467559745,0.34671523677328675,0.353683211187828,0.4324856105483968,0.31081106356398225,0.44486884657424125,0.46957022972881757,0.26086832382536607,0.34624454198311067,0.5218241544886749,0.4317344512047818,0.3464110325779575,0.3443849970183103,0.5283744662555591,0.5689249569949048,0.31226865300319284,0.38882550905471336,0.1309447248168402,0.18181475167353245"
