,user_embed
92,"0.619715079774821,0.6570078158205911,0.611091548550772,0.6473892149826412,0.788158362580484,0.7150059162588431,0.625135137067446,0.7348032108034638,0.7578897607888991,0.7594036126201418"
93,"0.6197635933224578,0.6568958337250119,0.6107336928097713,0.6477750328247228,0.788140706078064,0.7149121729929903,0.6247943741780321,0.7346770997164768,0.7581760906164335,0.7597211254979698"
94,"0.6215211549543643,0.6596983730678652,0.6123984239118635,0.6559661666427954,0.774927140202615,0.7153216751605043,0.6305810253737808,0.7416622353200717,0.751026981832202,0.7567831636084911"
95,"0.6214898020922202,0.6596733610595231,0.6124121061009422,0.6558006514499931,0.7751069222148365,0.7153976551175079,0.6304862172317727,0.7415489080293195,0.7511152857743346,0.7568257291693518"
96,"0.6214840822599605,0.6596703579245342,0.6124219727332642,0.6557444195538803,0.7751847657030865,0.715430301186542,0.6304557126127579,0.7415124825938658,0.7511569224763728,0.7568487825198708"
97,"0.619927222815718,0.6573455143400849,0.61087615241249,0.647721824085748,0.7879510586232287,0.7151280880217844,0.6247551682701592,0.735434776846461,0.7575446663817196,0.7597776915596862"
98,"0.615577565064661,0.6676469584244088,0.6384144060416952,0.6361513145011293,0.7478955604884637,0.7711131773858493,0.6268448923152283,0.736984408962602,0.7286497260286803,0.7521537474447845"
99,"0.6214273775085015,0.6596145752940332,0.6123483098739739,0.6558096709149817,0.7748632752087267,0.7153039101704508,0.6304661747482481,0.7415264055908735,0.7509412578422835,0.75669560778552"
100,"0.621403657888041,0.6595962782002122,0.6123614979105978,0.6556750959310862,0.7750167633087618,0.7153693256386536,0.6303897139431873,0.7414347890927516,0.7510178126390272,0.7567349322870666"
101,"0.6407340156354648,0.6525820527106919,0.6818755506953228,0.771975778058462,0.6727234778457267,0.6874183834233241,0.6818694927186204,0.7300022410999165,0.7050770764493405,0.7016988371180604"
102,"0.6395939169152163,0.6560376562832918,0.7197082579092149,0.7623213912862147,0.6898808605826812,0.7137603625669833,0.6932533374975753,0.7244738767658153,0.6526305250652027,0.6699389775576858"
103,"0.640152400598006,0.655372532517328,0.7198576116069861,0.762453611103875,0.6893921744864488,0.7134947325432835,0.693235466117834,0.7244596755361402,0.652805105401283,0.670463149667701"
104,"0.7130426609465343,0.6692111249717064,0.7597506013126646,0.7728095486838248,0.6884615479945135,0.6886924642129586,0.6831399034801234,0.7076007323448836,0.6064865131794472,0.6355007784073369"
105,"0.6101579044650566,0.5276046226722267,0.6612695256000671,0.7678577185433813,0.607123991388181,0.7331818231979098,0.7800759796967988,0.805948632209136,0.7001881753111128,0.6823245458513478"
106,"0.610212323647903,0.5271903856275356,0.6613804032080312,0.7680536966650996,0.607084458767905,0.7331510934657478,0.7801286034438006,0.8061547207132,0.7001937391222602,0.6820625481917506"
107,"0.613179860079704,0.5141404803486926,0.6648930872112258,0.7739544485902156,0.6065248848611445,0.7304383864138608,0.7828608936803614,0.811434147827745,0.7010523098659531,0.6724266241976523"
108,"0.6133680096598301,0.5143091565522091,0.664800046688866,0.7737795076536638,0.606997865122852,0.7306606842895202,0.7827695413372682,0.8113184751424979,0.7010851809087958,0.672172631409406"
109,"0.6102813488638165,0.5268759570087673,0.6614932401472035,0.7682375750442647,0.6070760872621297,0.7331490910365813,0.7802007166075127,0.806346539949111,0.7002250913712643,0.6818720226995609"
110,"0.6102957440469031,0.5269359057688568,0.6615013078146794,0.7682404174493291,0.6070993131220999,0.7331737761174177,0.7802190613630482,0.8063488023078808,0.7002466583339627,0.6819188682223473"
111,"0.6103117692652352,0.5269655754854635,0.6615167532493713,0.7682550088755308,0.607119000340578,0.7331942067763298,0.7802400346309326,0.806363773529491,0.7002668132469003,0.6819462771440404"
112,"0.6134558864592716,0.5146612813084561,0.6651535241825522,0.7738449118265278,0.6068476257355008,0.7310940103487178,0.7825794665889124,0.8113963405253819,0.7010182557534625,0.6719599156901724"
113,"0.7640213029568887,0.6621367546060467,0.7700432249679436,0.768696103538254,0.680211202000047,0.7285375291235314,0.6430702344907976,0.7075771126840615,0.5301721741442387,0.643433321166326"
114,"0.7640866015815809,0.6624090829099546,0.7705858715543387,0.768340618167209,0.6795015984962118,0.7286349136313574,0.642688062896025,0.7077440992664762,0.5300357941551179,0.643533085502424"
115,"0.4360501789101171,0.6178843539628944,0.563240737584443,0.8395976821841876,0.7810762929640362,0.5060150994870684,0.7822358469963474,0.6411314187303553,0.9142303789091508,0.44274440353825645"
116,"0.42996776706796264,0.6305772488206285,0.5684484235325781,0.8343070333091149,0.7717732653630854,0.5134957306592589,0.7804621876319907,0.645795506915226,0.911249976110973,0.4411951759072324"
117,"0.5047831207338553,0.7758570437636263,0.6709690831776379,0.560633576776566,1.0014256441830744,0.7719932155444642,0.8492943323937016,0.47209538446054944,0.5214565401762122,0.6114016328075931"
118,"0.5046541368392937,0.776564230495532,0.6705355736864548,0.5604863017690799,1.0016281124795745,0.7719415309571334,0.8492602097574199,0.47157850585821137,0.5214056292057806,0.611444304399158"
